parlamento.pt,nome,partido,distrito,wikipedia,facebook,twitter,instagram
7212,Fernando Miguel Catarino José,PS,Setúbal,Fernando_José_(político),fernando.jose.75641,,
,Francisco José Ferreira da Rocha,PS,Vila Real,Francisco_Rocha,franciscorocha.vrl,avancarjuntosvr,avancarjuntosvr
7036,Francisco José Pereira de Oliveira,PS,Faro,Francisco_Pereira_Oliveira,,,
,Francisco Miguel Vital Gomes do Vale César,PS,Açores,Francisco_Vale_César,francisco.cesar,franciscocesar,franciscocesar78
,Fátima Liliana Fontes Correia Pinto,PS,Vila Real,,,,
,Graça Maria da Fonseca Caetano Gonçalves,PS,Lisboa,Graça_Fonseca,,,fonseca_graca
3935,Hugo Alexandre Polido Pires,PS,Braga,Hugo_Pires,HugoPolidoPires,hugopolidopires,hugoppires
,Hugo Daniel Matos Oliveira,PS,Aveiro,Hugo_Oliveira,hugopmoliveira  ,h_oliveira,hugopmoliveira
6013,Hugo Miguel Carvalheiro dos Santos Costa,PS,Santarém,Hugo_Costa_(político),hugostcosta,hugostcosta,hugo.costa.83
5934,Hugo Miguel Costa Carvalho,PS,Porto,Hugo_Carvalho,hugocarvalhoamarante2021,,hugocarvalhops
,Isabel Cristina Andrez Guerreiro Bica,PS,Faro,,,,
6536,Isabel Maria Duarte de Almeida Rodrigues,PS,Açores,Isabel_Rodrigues,isabelrodriguesps,,
,Isabel Sofia Alves de Andrade,PS,Porto,,,,
4452,Isabel de Lima Mayer Alves Moreira,PS,Lisboa,Isabel_Moreira,,IsabelLMMoreira,isabelmayermoreira
,Ivan Costa Gonçalves,PS,Setúbal,Ivan_Gonçalves,ivancgoncalves,ivancgoncalves,ivancgoncalves
,Jamila Bárbara Madeira e Madeira,PS,Faro,Jamila_Madeira,jamilamadeiraps,JamilaMadeira,
2885,Joana Fernanda Ferreira Lima,PS,Porto,Joana_Ferreira_Lima,id=100014379076012,,
7046,Joana Isabel Martins Rigueiro de Sá Pereira,PS,Aveiro,Joana_Sá_Pereira,joanarsapereira,joanasapereira,JoanaSaPereira
419,Joaquim Barroso de Almeida Barreto,PS,Braga,Joaquim_Barreto,joaquimalmeidabarreto,,
2227,Jorge Filipe Teixeira Seguro Sanches,PS,Setúbal,,jorge.sanches.142687,jorgeseguro,
6884,Jorge Manuel do Nascimento Botelho,PS,Faro,,JorgeBotelho,jmnbotelho,
,José Carlos Alexandrino Mendes,PS,Coimbra,,jcarlosalexandrino,,
6731,José Carlos Ribeiro Barbosa,PS,Porto,,jose.c.barbosa.96,zecarlosbarbosa,
4066,José Duarte Piteira Rica Silvestre Cordeiro,PS,Lisboa,,duarte.cordeiro,duartecordeiro,duarte__cordeiro
2105,José Luís Pereira Carneiro,PS,Braga,José_Luís_Carneiro,CarneiroJLC,,carneirojlc
,José Maria da Cunha Costa,PS,Viana do Castelo,,José-Cunha-2017-1143401665791976,,
,José Miguel Mafra lglésias,PS,Madeira,Miguel_Iglésias,,,
,José Rui Alves Duarte da Cruz,PS,Viseu,José_Rui_Cruz,JoseRuiCruzPS,joseruicruzps,joseruicruzps
,João Alberto Sobrinho Teixeira,PS,Bragança,João_Sobrinho_Teixeira,sobrinhoteixeira2022,,sobrinhoteixeira2022
6546,João Nuno Ferreira Gonçalves Azevedo,PS,Viseu,João_Azevedo_(político),info.joaoazevedo,infojoaoazevedo,
,João Paulo Marçal Lopes Catarino,PS,Castelo Branco,,joaopaulo.catarino.10,,
